title,genres,director,cast,vote_average,metadata
The Matrix Reloaded,Adventure|Action|Thriller|Science Fiction,Lilly Wachowski,Keanu Reeves|Carrie-Anne Moss|Laurence Fishburne,6.7,Adventure|Action|Thriller|Science Fiction Lilly Wachowski Keanu Reeves|Carrie-Anne Moss|Laurence Fishburne
Thor: The Dark World,Action|Adventure|Fantasy,Alan Taylor,Chris Hemsworth|Natalie Portman|Tom Hiddleston,6.8,Action|Adventure|Fantasy Alan Taylor Chris Hemsworth|Natalie Portman|Tom Hiddleston
Mad Max: Fury Road,Action|Adventure|Science Fiction|Thriller,George Miller,Tom Hardy|Charlize Theron|Nicholas Hoult,7.2,Action|Adventure|Science Fiction|Thriller George Miller Tom Hardy|Charlize Theron|Nicholas Hoult
Angels & Demons,Thriller|Mystery,Ron Howard,Tom Hanks|Ewan McGregor|Ayelet Zurer,6.5,Thriller|Mystery Ron Howard Tom Hanks|Ewan McGregor|Ayelet Zurer
Thor,Adventure|Fantasy|Action,Kenneth Branagh,Chris Hemsworth|Natalie Portman|Tom Hiddleston,6.6,Adventure|Fantasy|Action Kenneth Branagh Chris Hemsworth|Natalie Portman|Tom Hiddleston
Bolt,Animation|Family|Adventure|Comedy,Chris Williams,John Travolta|Miley Cyrus|Susie Essman,6.3,Animation|Family|Adventure|Comedy Chris Williams John Travolta|Miley Cyrus|Susie Essman
G-Force,Fantasy|Action|Adventure|Family|Comedy,Hoyt Yeatman,Sam Rockwell|Penélope Cruz|Tracy Morgan,5.1,Fantasy|Action|Adventure|Family|Comedy Hoyt Yeatman Sam Rockwell|Penélope Cruz|Tracy Morgan
Wrath of the Titans,Adventure,Jonathan Liebesman,Sam Worthington|Liam Neeson|Ralph Fiennes,5.5,Adventure Jonathan Liebesman Sam Worthington|Liam Neeson|Ralph Fiennes
Dark Shadows,Comedy|Fantasy,Tim Burton,Johnny Depp|Michelle Pfeiffer|Helena Bonham Carter,5.7,Comedy|Fantasy Tim Burton Johnny Depp|Michelle Pfeiffer|Helena Bonham Carter
Mission: Impossible - Rogue Nation,Action|Adventure|Thriller,Christopher McQuarrie,Tom Cruise|Rebecca Ferguson|Simon Pegg,7.1,Action|Adventure|Thriller Christopher McQuarrie Tom Cruise|Rebecca Ferguson|Simon Pegg
The Wolfman,Drama|Horror|Thriller,Joe Johnston,Benicio del Toro|Anthony Hopkins|Emily Blunt,5.5,Drama|Horror|Thriller Joe Johnston Benicio del Toro|Anthony Hopkins|Emily Blunt
Bee Movie,Family|Animation|Adventure|Comedy,Steve Hickner,Jerry Seinfeld|Renée Zellweger|Jim Cummings,5.7,Family|Animation|Adventure|Comedy Steve Hickner Jerry Seinfeld|Renée Zellweger|Jim Cummings
Kung Fu Panda 2,Animation|Family,Jennifer Yuh Nelson,Jack Black|Angelina Jolie|Dustin Hoffman,6.7,Animation|Family Jennifer Yuh Nelson Jack Black|Angelina Jolie|Dustin Hoffman
The Last Airbender,Action|Adventure|Family|Fantasy,M. Night Shyamalan,Noah Ringer|Nicola Peltz|Jackson Rathbone,4.7,Action|Adventure|Family|Fantasy M. Night Shyamalan Noah Ringer|Nicola Peltz|Jackson Rathbone
Mission: Impossible III,Adventure|Action|Thriller,J.J. Abrams,Tom Cruise|Philip Seymour Hoffman|Ving Rhames,6.5,Adventure|Action|Thriller J.J. Abrams Tom Cruise|Philip Seymour Hoffman|Ving Rhames
White House Down,Action|Drama|Thriller,Roland Emmerich,Channing Tatum|Jamie Foxx|Joey King,6.4,Action|Drama|Thriller Roland Emmerich Channing Tatum|Jamie Foxx|Joey King
Mars Needs Moms,Adventure|Animation|Family,Simon Wells,Seth Green|Joan Cusack|Dan Fogler,5.5,Adventure|Animation|Family Simon Wells Seth Green|Joan Cusack|Dan Fogler
Flushed Away,Adventure|Animation|Comedy|Family,David Bowers,Hugh Jackman|Kate Winslet|Ian McKellen,6.0,Adventure|Animation|Comedy|Family David Bowers Hugh Jackman|Kate Winslet|Ian McKellen
Pan,Adventure|Family|Fantasy,Joe Wright,Levi Miller|Garrett Hedlund|Hugh Jackman,5.9,Adventure|Family|Fantasy Joe Wright Levi Miller|Garrett Hedlund|Hugh Jackman
Mr. Peabody & Sherman,Animation|Adventure|Family,Rob Minkoff,Ty Burrell|Max Charles|Ariel Winter,6.7,Animation|Adventure|Family Rob Minkoff Ty Burrell|Max Charles|Ariel Winter
Troy,Adventure|Drama|War,Wolfgang Petersen,Brad Pitt|Orlando Bloom|Eric Bana,6.9,Adventure|Drama|War Wolfgang Petersen Brad Pitt|Orlando Bloom|Eric Bana
Madagascar 3: Europe's Most Wanted,Animation|Family,Conrad Vernon,Ben Stiller|Sacha Baron Cohen|David Schwimmer,6.4,Animation|Family Conrad Vernon Ben Stiller|Sacha Baron Cohen|David Schwimmer
Die Another Day,Adventure|Action|Thriller,Lee Tamahori,Pierce Brosnan|Halle Berry|Rosamund Pike,5.8,Adventure|Action|Thriller Lee Tamahori Pierce Brosnan|Halle Berry|Rosamund Pike
Ghostbusters,Action|Fantasy|Comedy,Paul Feig,Melissa McCarthy|Kristen Wiig|Kate McKinnon,5.3,Action|Fantasy|Comedy Paul Feig Melissa McCarthy|Kristen Wiig|Kate McKinnon
Armageddon,Action|Thriller|Science Fiction|Adventure,Michael Bay,Bruce Willis|Billy Bob Thornton|Ben Affleck,6.4,Action|Thriller|Science Fiction|Adventure Michael Bay Bruce Willis|Billy Bob Thornton|Ben Affleck
Men in Black II,Action|Adventure|Comedy|Science Fiction,Barry Sonnenfeld,Tommy Lee Jones|Will Smith|Rip Torn,6.0,Action|Adventure|Comedy|Science Fiction Barry Sonnenfeld Tommy Lee Jones|Will Smith|Rip Torn
Beowulf,Adventure|Action|Animation,Robert Zemeckis,Ray Winstone|Angelina Jolie|Anthony Hopkins,5.5,Adventure|Action|Animation Robert Zemeckis Ray Winstone|Angelina Jolie|Anthony Hopkins
Kung Fu Panda 3,Action|Adventure|Animation|Comedy|Family,Jennifer Yuh Nelson,Jack Black|Bryan Cranston|Dustin Hoffman,6.7,Action|Adventure|Animation|Comedy|Family Jennifer Yuh Nelson Jack Black|Bryan Cranston|Dustin Hoffman
Mission: Impossible - Ghost Protocol,Action|Thriller|Adventure,Brad Bird,Tom Cruise|Jeremy Renner|Simon Pegg,6.8,Action|Thriller|Adventure Brad Bird Tom Cruise|Jeremy Renner|Simon Pegg
Rise of the Guardians,Fantasy|Animation|Family,Peter Ramsey,Chris Pine|Alec Baldwin|Jude Law,7.1,Fantasy|Animation|Family Peter Ramsey Chris Pine|Alec Baldwin|Jude Law
Fun with Dick and Jane,Comedy,Dean Parisot,Jim Carrey|Téa Leoni|Alec Baldwin,5.9,Comedy Dean Parisot Jim Carrey|Téa Leoni|Alec Baldwin
The Last Samurai,Drama|Action|War|History,Edward Zwick,Tom Cruise|Ken Watanabe|William Atherton,7.3,Drama|Action|War|History Edward Zwick Tom Cruise|Ken Watanabe|William Atherton
Exodus: Gods and Kings,Adventure|Drama|Action,Ridley Scott,Christian Bale|Joel Edgerton|John Turturro,5.6,Adventure|Drama|Action Ridley Scott Christian Bale|Joel Edgerton|John Turturro
Star Trek,Science Fiction|Action|Adventure,J.J. Abrams,Chris Pine|Zachary Quinto|Leonard Nimoy,7.4,Science Fiction|Action|Adventure J.J. Abrams Chris Pine|Zachary Quinto|Leonard Nimoy
Spider-Man,Fantasy|Action,Sam Raimi,Tobey Maguire|Willem Dafoe|Kirsten Dunst,6.8,Fantasy|Action Sam Raimi Tobey Maguire|Willem Dafoe|Kirsten Dunst
How to Train Your Dragon 2,Fantasy|Action|Adventure|Animation|Comedy|Family,Dean DeBlois,Jay Baruchel|Gerard Butler|Kristen Wiig,7.6,Fantasy|Action|Adventure|Animation|Comedy|Family Dean DeBlois Jay Baruchel|Gerard Butler|Kristen Wiig
Gods of Egypt,Fantasy,Alex Proyas,Brenton Thwaites|Nikolaj Coster-Waldau|Gerard Butler,5.3,Fantasy Alex Proyas Brenton Thwaites|Nikolaj Coster-Waldau|Gerard Butler
Stealth,Action,Rob Cohen,Josh Lucas|Jessica Biel|Jamie Foxx,4.9,Action Rob Cohen Josh Lucas|Jessica Biel|Jamie Foxx
Watchmen,Action|Mystery|Science Fiction,Zack Snyder,Malin Åkerman|Billy Crudup|Carla Gugino,7.0,Action|Mystery|Science Fiction Zack Snyder Malin Åkerman|Billy Crudup|Carla Gugino
Lethal Weapon 4,Action|Adventure|Comedy|Crime|Thriller,Richard Donner,Mel Gibson|Danny Glover|Joe Pesci,6.3,Action|Adventure|Comedy|Crime|Thriller Richard Donner Mel Gibson|Danny Glover|Joe Pesci
Hulk,Drama|Action|Science Fiction,Ang Lee,Eric Bana|Jennifer Connelly|Sam Elliott,5.3,Drama|Action|Science Fiction Ang Lee Eric Bana|Jennifer Connelly|Sam Elliott
G.I. Joe: Retaliation,Adventure|Action|Science Fiction|Thriller,Jon M. Chu,Dwayne Johnson|D.J. Cotrona|Adrianne Palicki,5.4,Adventure|Action|Science Fiction|Thriller Jon M. Chu Dwayne Johnson|D.J. Cotrona|Adrianne Palicki
Sahara,Action|Adventure|Comedy|Drama|Mystery,Breck Eisner,Matthew McConaughey|Penélope Cruz|Steve Zahn,5.7,Action|Adventure|Comedy|Drama|Mystery Breck Eisner Matthew McConaughey|Penélope Cruz|Steve Zahn
Final Fantasy: The Spirits Within,Adventure|Action|Animation|Fantasy|Science Fiction|Thriller,Hironobu Sakaguchi,Donald Sutherland|Ming-Na Wen|Alec Baldwin,5.9,Adventure|Action|Animation|Fantasy|Science Fiction|Thriller Hironobu Sakaguchi Donald Sutherland|Ming-Na Wen|Alec Baldwin
Captain America: The First Avenger,Action|Adventure|Science Fiction,Joe Johnston,Chris Evans|Hugo Weaving|Tommy Lee Jones,6.6,Action|Adventure|Science Fiction Joe Johnston Chris Evans|Hugo Weaving|Tommy Lee Jones
The World Is Not Enough,Adventure|Action|Thriller,Michael Apted,Pierce Brosnan|Sophie Marceau|Robert Carlyle,6.0,Adventure|Action|Thriller Michael Apted Pierce Brosnan|Sophie Marceau|Robert Carlyle
Master and Commander: The Far Side of the World,Adventure,Peter Weir,Russell Crowe|Paul Bettany|James D'Arcy,6.9,Adventure Peter Weir Russell Crowe|Paul Bettany|James D'Arcy
The Twilight Saga: Breaking Dawn - Part 2,Adventure|Fantasy|Drama|Romance,Bill Condon,Kristen Stewart|Robert Pattinson|Taylor Lautner,6.1,Adventure|Fantasy|Drama|Romance Bill Condon Kristen Stewart|Robert Pattinson|Taylor Lautner
Happy Feet Two,Animation|Comedy|Family,George Miller,Elijah Wood|Robin Williams|Pink,5.8,Animation|Comedy|Family George Miller Elijah Wood|Robin Williams|Pink
The Incredible Hulk,Science Fiction|Action|Adventure,Louis Leterrier,Edward Norton|Liv Tyler|Tim Roth,6.1,Science Fiction|Action|Adventure Louis Leterrier Edward Norton|Liv Tyler|Tim Roth
The BFG,Adventure|Family|Fantasy,Steven Spielberg,Ruby Barnhill|Mark Rylance|Rebecca Hall,6.0,Adventure|Family|Fantasy Steven Spielberg Ruby Barnhill|Mark Rylance|Rebecca Hall
The Revenant,Western|Drama|Adventure|Thriller,Alejandro González Iñárritu,Leonardo DiCaprio|Tom Hardy|Will Poulter,7.3,Western|Drama|Adventure|Thriller Alejandro González Iñárritu Leonardo DiCaprio|Tom Hardy|Will Poulter
Turbo,Animation|Family,David Soren,Ryan Reynolds|Paul Giamatti|Michael Peña,6.1,Animation|Family David Soren Ryan Reynolds|Paul Giamatti|Michael Peña
Rango,Animation|Comedy|Family|Western|Adventure,Gore Verbinski,Johnny Depp|Isla Fisher|Ned Beatty,6.6,Animation|Comedy|Family|Western|Adventure Gore Verbinski Johnny Depp|Isla Fisher|Ned Beatty
Penguins of Madagascar,Family|Animation|Adventure|Comedy,Eric Darnell,Tom McGrath|Chris Miller|Christopher Knights,6.5,Family|Animation|Adventure|Comedy Eric Darnell Tom McGrath|Chris Miller|Christopher Knights
The Bourne Ultimatum,Action|Drama|Mystery|Thriller,Paul Greengrass,Matt Damon|Julia Stiles|David Strathairn,7.3,Action|Drama|Mystery|Thriller Paul Greengrass Matt Damon|Julia Stiles|David Strathairn
Kung Fu Panda,Adventure|Animation|Family|Comedy,Mark Osborne,Jack Black|Dustin Hoffman|Angelina Jolie,6.9,Adventure|Animation|Family|Comedy Mark Osborne Jack Black|Dustin Hoffman|Angelina Jolie
Ant-Man,Science Fiction|Action|Adventure,Peyton Reed,Paul Rudd|Michael Douglas|Evangeline Lilly,7.0,Science Fiction|Action|Adventure Peyton Reed Paul Rudd|Michael Douglas|Evangeline Lilly
The Hunger Games: Catching Fire,Adventure|Action|Science Fiction,Francis Lawrence,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth,7.4,Adventure|Action|Science Fiction Francis Lawrence Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth
Home,Fantasy|Comedy|Animation|Science Fiction|Family,Tim Johnson,Jim Parsons|Rihanna|Steve Martin,6.8,Fantasy|Comedy|Animation|Science Fiction|Family Tim Johnson Jim Parsons|Rihanna|Steve Martin
War of the Worlds,Adventure|Thriller|Science Fiction,Steven Spielberg,Tom Cruise|Dakota Fanning|Miranda Otto,6.2,Adventure|Thriller|Science Fiction Steven Spielberg Tom Cruise|Dakota Fanning|Miranda Otto
Bad Boys II,Adventure|Action|Comedy|Thriller|Crime,Michael Bay,Martin Lawrence|Will Smith|Jordi Mollà,6.3,Adventure|Action|Comedy|Thriller|Crime Michael Bay Martin Lawrence|Will Smith|Jordi Mollà
Puss in Boots,Action|Adventure|Animation|Family|Fantasy,Chris Miller,Antonio Banderas|Salma Hayek|Zach Galifianakis,6.4,Action|Adventure|Animation|Family|Fantasy Chris Miller Antonio Banderas|Salma Hayek|Zach Galifianakis
Salt,Action|Mystery|Thriller,Phillip Noyce,Angelina Jolie|Liev Schreiber|Chiwetel Ejiofor,6.2,Action|Mystery|Thriller Phillip Noyce Angelina Jolie|Liev Schreiber|Chiwetel Ejiofor
Noah,Drama|Adventure,Darren Aronofsky,Russell Crowe|Jennifer Connelly|Emma Watson,5.6,Drama|Adventure Darren Aronofsky Russell Crowe|Jennifer Connelly|Emma Watson
The Adventures of Tintin,Adventure|Animation|Mystery,Steven Spielberg,Jamie Bell|Andy Serkis|Daniel Craig,6.7,Adventure|Animation|Mystery Steven Spielberg Jamie Bell|Andy Serkis|Daniel Craig
Harry Potter and the Prisoner of Azkaban,Adventure|Fantasy|Family,Alfonso Cuarón,Daniel Radcliffe|Rupert Grint|Emma Watson,7.7,Adventure|Fantasy|Family Alfonso Cuarón Daniel Radcliffe|Rupert Grint|Emma Watson
Australia,Drama,Baz Luhrmann,Nicole Kidman|Hugh Jackman|Essie Davis,6.3,Drama Baz Luhrmann Nicole Kidman|Hugh Jackman|Essie Davis
After Earth,Science Fiction|Action|Adventure,M. Night Shyamalan,Jaden Smith|Will Smith|Sophie Okonedo,5.0,Science Fiction|Action|Adventure M. Night Shyamalan Jaden Smith|Will Smith|Sophie Okonedo
Dinosaur,Animation|Family,Ralph Zondag,D. B. Sweeney|Alfre Woodard|Ossie Davis,6.2,Animation|Family Ralph Zondag D. B. Sweeney|Alfre Woodard|Ossie Davis
Night at the Museum: Secret of the Tomb,Adventure|Comedy|Fantasy|Family,Shawn Levy,Ben Stiller|Rami Malek|Rebel Wilson,6.1,Adventure|Comedy|Fantasy|Family Shawn Levy Ben Stiller|Rami Malek|Rebel Wilson
Megamind,Animation|Action|Comedy|Family|Science Fiction,Tom McGrath,Will Ferrell|Brad Pitt|Tina Fey,6.7,Animation|Action|Comedy|Family|Science Fiction Tom McGrath Will Ferrell|Brad Pitt|Tina Fey
Harry Potter and the Philosopher's Stone,Adventure|Fantasy|Family,Chris Columbus,Daniel Radcliffe|Rupert Grint|Emma Watson,7.5,Adventure|Fantasy|Family Chris Columbus Daniel Radcliffe|Rupert Grint|Emma Watson
R.I.P.D.,Fantasy|Action|Comedy|Crime,Robert Schwentke,Jeff Bridges|Ryan Reynolds|Kevin Bacon,5.4,Fantasy|Action|Comedy|Crime Robert Schwentke Jeff Bridges|Ryan Reynolds|Kevin Bacon
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure|Fantasy|Action,Gore Verbinski,Johnny Depp|Geoffrey Rush|Orlando Bloom,7.5,Adventure|Fantasy|Action Gore Verbinski Johnny Depp|Geoffrey Rush|Orlando Bloom
The Hunger Games: Mockingjay - Part 1,Science Fiction|Adventure|Thriller,Francis Lawrence,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth,6.6,Science Fiction|Adventure|Thriller Francis Lawrence Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth
The Da Vinci Code,Thriller|Mystery,Ron Howard,Tom Hanks|Audrey Tautou|Ian McKellen,6.5,Thriller|Mystery Ron Howard Tom Hanks|Audrey Tautou|Ian McKellen
Rio 2,Animation|Adventure|Comedy|Family,Carlos Saldanha,Jesse Eisenberg|Anne Hathaway|Leslie Mann,6.3,Animation|Adventure|Comedy|Family Carlos Saldanha Jesse Eisenberg|Anne Hathaway|Leslie Mann
X2,Adventure|Action|Science Fiction|Thriller,Bryan Singer,Patrick Stewart|Hugh Jackman|Ian McKellen,6.8,Adventure|Action|Science Fiction|Thriller Bryan Singer Patrick Stewart|Hugh Jackman|Ian McKellen
Fast Five,Action|Thriller|Crime,Justin Lin,Vin Diesel|Paul Walker|Jordana Brewster,7.1,Action|Thriller|Crime Justin Lin Vin Diesel|Paul Walker|Jordana Brewster
Sherlock Holmes: A Game of Shadows,Adventure|Action|Crime|Mystery,Guy Ritchie,Robert Downey Jr.|Jude Law|Jared Harris,7.0,Adventure|Action|Crime|Mystery Guy Ritchie Robert Downey Jr.|Jude Law|Jared Harris
Clash of the Titans,Adventure|Fantasy|Action,Louis Leterrier,Sam Worthington|Liam Neeson|Ralph Fiennes,5.6,Adventure|Fantasy|Action Louis Leterrier Sam Worthington|Liam Neeson|Ralph Fiennes
Total Recall,Action|Adventure|Science Fiction,Paul Verhoeven,Arnold Schwarzenegger|Sharon Stone|Rachel Ticotin,7.1,Action|Adventure|Science Fiction Paul Verhoeven Arnold Schwarzenegger|Sharon Stone|Rachel Ticotin
The 13th Warrior,Adventure|Fantasy|Action,John McTiernan,Antonio Banderas|Vladimir Kulich|Dennis Storhøi,6.4,Adventure|Fantasy|Action John McTiernan Antonio Banderas|Vladimir Kulich|Dennis Storhøi
The Bourne Legacy,Action|Thriller,Tony Gilroy,Jeremy Renner|Rachel Weisz|Edward Norton,6.0,Action|Thriller Tony Gilroy Jeremy Renner|Rachel Weisz|Edward Norton
Batman & Robin,Action|Crime|Fantasy,Joel Schumacher,George Clooney|Chris O'Donnell|Arnold Schwarzenegger,4.2,Action|Crime|Fantasy Joel Schumacher George Clooney|Chris O'Donnell|Arnold Schwarzenegger
How the Grinch Stole Christmas,Family|Comedy|Fantasy,Ron Howard,Jim Carrey|Taylor Momsen|Jeffrey Tambor,6.2,Family|Comedy|Fantasy Ron Howard Jim Carrey|Taylor Momsen|Jeffrey Tambor
The Day After Tomorrow,Action|Adventure|Science Fiction|Thriller,Roland Emmerich,Dennis Quaid|Jake Gyllenhaal|Emmy Rossum,6.2,Action|Adventure|Science Fiction|Thriller Roland Emmerich Dennis Quaid|Jake Gyllenhaal|Emmy Rossum
Mission: Impossible II,Adventure|Action|Thriller,John Woo,Tom Cruise|Dougray Scott|Thandie Newton,5.9,Adventure|Action|Thriller John Woo Tom Cruise|Dougray Scott|Thandie Newton
The Perfect Storm,Drama,Wolfgang Petersen,George Clooney|Mark Wahlberg|Diane Lane,6.2,Drama Wolfgang Petersen George Clooney|Mark Wahlberg|Diane Lane
Fantastic 4: Rise of the Silver Surfer,Adventure|Fantasy|Action|Thriller,Tim Story,Ioan Gruffudd|Jessica Alba|Chris Evans,5.4,Adventure|Fantasy|Action|Thriller Tim Story Ioan Gruffudd|Jessica Alba|Chris Evans
Life of Pi,Adventure|Drama|Action,Ang Lee,Suraj Sharma|Irrfan Khan|Ayush Tandon,7.2,Adventure|Drama|Action Ang Lee Suraj Sharma|Irrfan Khan|Ayush Tandon
Ghost Rider,Thriller|Action|Fantasy|Horror,Mark Steven Johnson,Nicolas Cage|Eva Mendes|Wes Bentley,5.2,Thriller|Action|Fantasy|Horror Mark Steven Johnson Nicolas Cage|Eva Mendes|Wes Bentley
Jason Bourne,Action|Thriller,Paul Greengrass,Matt Damon|Alicia Vikander|Tommy Lee Jones,5.9,Action|Thriller Paul Greengrass Matt Damon|Alicia Vikander|Tommy Lee Jones
Charlie's Angels: Full Throttle,Action|Adventure|Comedy,McG,Cameron Diaz|Drew Barrymore|Lucy Liu,5.2,Action|Adventure|Comedy McG Cameron Diaz|Drew Barrymore|Lucy Liu
Prometheus,Science Fiction|Adventure|Mystery,Ridley Scott,Noomi Rapace|Michael Fassbender|Guy Pearce,6.3,Science Fiction|Adventure|Mystery Ridley Scott Noomi Rapace|Michael Fassbender|Guy Pearce
Stuart Little 2,Family|Adventure|Animation|Comedy,Rob Minkoff,Michael J. Fox|Geena Davis|Hugh Laurie,5.4,Family|Adventure|Animation|Comedy Rob Minkoff Michael J. Fox|Geena Davis|Hugh Laurie
Elysium,Science Fiction|Action|Drama|Thriller,Neill Blomkamp,Matt Damon|Jodie Foster|Sharlto Copley,6.4,Science Fiction|Action|Drama|Thriller Neill Blomkamp Matt Damon|Jodie Foster|Sharlto Copley
The Chronicles of Riddick,Action|Science Fiction,David Twohy,Vin Diesel|Thandie Newton|Karl Urban,6.3,Action|Science Fiction David Twohy Vin Diesel|Thandie Newton|Karl Urban
RoboCop,Action|Science Fiction,José Padilha,Joel Kinnaman|Gary Oldman|Michael Keaton,5.7,Action|Science Fiction José Padilha Joel Kinnaman|Gary Oldman|Michael Keaton
Speed Racer,Action|Family|Science Fiction,Lilly Wachowski,Emile Hirsch|Christina Ricci|Matthew Fox,5.7,Action|Family|Science Fiction Lilly Wachowski Emile Hirsch|Christina Ricci|Matthew Fox
How Do You Know,Comedy|Drama|Romance,James L. Brooks,Reese Witherspoon|Paul Rudd|Owen Wilson,4.9,Comedy|Drama|Romance James L. Brooks Reese Witherspoon|Paul Rudd|Owen Wilson
Knight and Day,Action|Comedy,James Mangold,Tom Cruise|Cameron Diaz|Peter Sarsgaard,5.9,Action|Comedy James Mangold Tom Cruise|Cameron Diaz|Peter Sarsgaard
Oblivion,Action|Science Fiction|Adventure|Mystery,Joseph Kosinski,Tom Cruise|Morgan Freeman|Olga Kurylenko,6.4,Action|Science Fiction|Adventure|Mystery Joseph Kosinski Tom Cruise|Morgan Freeman|Olga Kurylenko
Star Wars: Episode III - Revenge of the Sith,Science Fiction|Adventure|Action,George Lucas,Ewan McGregor|Natalie Portman|Hayden Christensen,7.1,Science Fiction|Adventure|Action George Lucas Ewan McGregor|Natalie Portman|Hayden Christensen
Star Wars: Episode II - Attack of the Clones,Adventure|Action|Science Fiction,George Lucas,Ewan McGregor|Natalie Portman|Hayden Christensen,6.4,Adventure|Action|Science Fiction George Lucas Ewan McGregor|Natalie Portman|Hayden Christensen
"Monsters, Inc.",Animation|Comedy|Family,Pete Docter,John Goodman|Billy Crystal|Mary Gibbs,7.5,Animation|Comedy|Family Pete Docter John Goodman|Billy Crystal|Mary Gibbs
The Wolverine,Action|Science Fiction|Adventure|Fantasy,James Mangold,Hugh Jackman|Hiroyuki Sanada|Famke Janssen,6.3,Action|Science Fiction|Adventure|Fantasy James Mangold Hugh Jackman|Hiroyuki Sanada|Famke Janssen
Star Wars: Episode I - The Phantom Menace,Adventure|Action|Science Fiction,George Lucas,Liam Neeson|Ewan McGregor|Natalie Portman,6.3,Adventure|Action|Science Fiction George Lucas Liam Neeson|Ewan McGregor|Natalie Portman
